ID,composition,pressure,a_expt,b_expt,c_expt,alpha_expt,beta_expt,gamma_expt,nat_expt,ntypat_expt,species_expt,xred_expt,a_comp,b_comp,c_comp,alpha_comp,beta_comp,gamma_comp,nat_comp,ntypat_comp,species_comp,xred_comp,Lambda_comp,omlog_comp,Tc_expt,mu,Tc_mml,Tc_elsb,anharmonicity,SOC,ref
1186,NbN,0.0,4.3767542839,4.3767542839,4.3767542839,90.0,90.0,90.0,8.0,2.0,"[""Nb"", ""Nb"", ""Nb"", ""Nb"", ""N"", ""N"", ""N"", ""N""]","[[0.5, 0.5, 0.5], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.0, 0.0, 0.5], [0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0]]",,,,,,,,,,,0.98,269,"[14.7,16.0,17.3]",0.1,18.3,,,,"[10.1002/SIA.740150606,10.1063/5.0104968,10.1103/RevModPhys.35.1,10.1103/PhysRevB.108.064505]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.748,,[39.0],0.16,,50,,,"[10.1038/35065039,10.1103/PhysRevB.87.024505]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.595,,[39.0],0.12,,39,True,False,"[10.1038/35065039,10.1103/PhysRevB.79.094518]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.741,682.3,[39.0],0.1,27.12,,,,"[10.1038/35065039,10.1103/PhysRevB.82.165111]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.87,719.48,[39.0],0.1,39.65,,,,"[10.1038/35065039,10.1103/PhysRevB.64.020501]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.73,707.7,[39.0],0.1,27.15,,,,"[10.1038/35065039,10.1103/PhysRevLett.86.5771]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.73,727.6,[39.0],0.1,27.95,,False,,"[10.1038/35065039,10.1103/PhysRevB.66.020513]"
1194,MgB2,0.0,3.0834000111,3.0834000110387825,3.5413000584,90.0,90.0,119.99999999958396,3.0,2.0,"[""Mg"", ""B"", ""B""]","[[0.0, 0.0, 0.0], [0.333333343, 0.666666687, 0.5], [0.666666627, 0.333333313, 0.5]]",,,,,,,,,,,0.61,880.78,[39.0],0.1,21.17,,True,,"[10.1038/35065039,10.1103/PhysRevB.66.020513]"
1433,LaCuSb2,0.0,,,,,,,,,,,4.368999958,4.368999958,10.3760004044,90.0,90.0,90.0,8.0,3.0,"[""La"", ""La"", ""Cu"", ""Cu"", ""Sb"", ""Sb"", ""Sb"", ""Sb""]","[[0.25, 0.25, 0.750710011], [0.75, 0.75, 0.249290004], [0.75, 0.25, 0.5], [0.25, 0.75, 0.5], [0.75, 0.25, 0.0], [0.25, 0.75, 0.0], [0.25, 0.25, 0.356640011], [0.75, 0.75, 0.643360019]]",0.465,103.5,[1.0],0.1,0.93,,,,[10.1103/PhysRevB.107.245117]
1747,ScAu2Al,0.0,6.5304999352,6.5304999352,6.5304999352,90.0,90.0,90.0,16.0,3.0,"[""Al"", ""Al"", ""Al"", ""Al"", ""Sc"", ""Sc"", ""Sc"", ""Sc"", ""Au"", ""Au"", ""Au"", ""Au"", ""Au"", ""Au"", ""Au"", ""Au""]","[[0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.5, 0.5], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.0, 0.0, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.75, 0.75, 0.25], [0.25, 0.25, 0.75], [0.75, 0.25, 0.75], [0.25, 0.75, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.25]]",,,,,,,,,,,0.974,63.542,[5.12],0.1,6.411,,,True,"[10.1088/1361-648X/ac5651, 10.1103/PhysRevB.108.224501]"
1749,Nb2N,0.0,3.0580000877,3.058000087791475,4.9609999657,90.0,90.0,120.00000000009224,3.0,2.0,"[""Nb"", ""Nb"", ""N""]","[[0.333333343, 0.666666687, 0.25], [0.666666627, 0.333333313, 0.75], [0.0, 0.0, 0.0]]",,,,,,,,,,,0.57,306,"[8.6, 12.1]",0.1,6.12,,,,"[10.3891/acta.chem.scand.30a-0219, 10.1016/0022-3697(67)90129-1, 10.1103/PhysRevB.108.064505]"
1750,Nb2N,0.0,3.0550000668,3.0550000667896446,4.993999958,90.0,90.0,120.00000000011212,6.0,2.0,"[""Nb"", ""Nb"", ""Nb"", ""Nb"", ""N"", ""N""]","[[0.333333343, 0.666666687, 0.25], [0.666666627, 0.333333313, 0.75], [0.666666687, 0.333333343, 0.75], [0.333333313, 0.666666627, 0.25], [0.0, 0.0, 0.0], [0.0, 0.0, 0.5]]",,,,,,,,,,,0.47,398,"[1, 4.74]",0.1,3.88,,,,"[10.1143/JJAP.4.353,10.1103/PhysRevMaterials.7.074803,10.1063/5.0142370,10.1103/PhysRevB.108.064505]"
1752,Nb3N4,0.0,4.3819999695,4.3819999695,8.6319999695,90.0,90.0,90.0,14.0,2.0,"[""Nb"", ""Nb"", ""Nb"", ""Nb"", ""Nb"", ""Nb"", ""Nb"", ""Nb"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]","[[0.0, 0.0, 0.253877997], [0.0, 0.0, 0.746122003], [0.5, 0.5, 0.753877997], [0.5, 0.5, 0.246122003], [0.0, 0.5, 0.0], [0.5, 0.0, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.0, 0.5, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.25], [0.5, 0.0, 0.75], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",,,,,,,,,,,0.58,262,"[8,16]",0.1,8.48,,,,"[10.1063/1.1663418,10.1103/PhysRevB.108.064505]"
1753,Nb4N5,0.0,6.873000145,6.873000145,4.2979998589,90.0,90.0,90.0,18.0,2.0,"[""Nb"", ""Nb"", ""Nb"", ""Nb"", ""Nb"", ""Nb"", ""Nb"", ""Nb"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]","[[0.105104998, 0.71687597, 0.5], [0.894895017, 0.28312403, 0.5], [0.28312403, 0.105104998, 0.5], [0.71687597, 0.894895017, 0.5], [0.605104983, 0.21687597, 0.0], [0.394895017, 0.78312403, 0.0], [0.78312403, 0.605104983, 0.0], [0.21687597, 0.394895017, 0.0], [0.092595004, 0.691932976, 0.0], [0.907405019, 0.308067024, 0.0], [0.308067024, 0.092595004, 0.0], [0.691932976, 0.907405019, 0.0], [0.592594981, 0.191932976, 0.5], [0.407404989, 0.808067024, 0.5], [0.808067024, 0.592594981, 0.5], [0.191932976, 0.407404989, 0.5], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0]]",,,,,,,,,,,0.92,249,"[8,16,10]",0.1,15.28,,,,"[10.1063/1.1663418,10.1039/A805315D,10.1103/PhysRevB.108.064505]"
1756,YH6,165,3.5780000687,3.5780000687,3.5780000687,90.0,90.0,90.0,14.0,2.0,"[""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""Y"", ""Y""]","[[0.25, 0.0, 0.5], [0.75, 0.0, 0.5], [0.5, 0.25, 0.0], [0.5, 0.75, 0.0], [0.0, 0.5, 0.25], [0.0, 0.5, 0.75], [0.0, 0.25, 0.5], [0.0, 0.75, 0.5], [0.25, 0.5, 0.0], [0.75, 0.5, 0.0], [0.5, 0.0, 0.75], [0.5, 0.0, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",,,,,,,,,,,1.71,1333,[224],0.1,170.52888118223018,247,True,False,[10.1002/adma.202006832]
1757,YH6,165,3.5780000687,3.5780000687,3.5780000687,90.0,90.0,90.0,14.0,2.0,"[""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""Y"", ""Y""]","[[0.25, 0.0, 0.5], [0.75, 0.0, 0.5], [0.5, 0.25, 0.0], [0.5, 0.75, 0.0], [0.0, 0.5, 0.25], [0.0, 0.5, 0.75], [0.0, 0.25, 0.5], [0.0, 0.75, 0.5], [0.25, 0.5, 0.0], [0.75, 0.5, 0.0], [0.5, 0.0, 0.75], [0.5, 0.0, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",,,,,,,,,,,1.71,1333,[224],0.15,148.57899369844196,236,True,False,[10.1002/adma.202006832]
1775,H3S,[200],2.9839999676,2.9839999676,2.9839999676,90.0,90.0,90.0,8.0,2.0,"[""S"", ""S"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.0, 0.0, 0.5]]",,,,,,,,,,,1.84,1077.17,[184.01],0.16,124.88405180610428,,True,False,"[0.1038/nature14964,10.1103/PhysRevLett.114.157004]"
1776,H3S,[200],2.9839999676,2.9839999676,2.9839999676,90.0,90.0,90.0,8.0,2.0,"[""S"", ""S"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.0, 0.0, 0.5]]",,,,,,,,,,,2.64,1048.64,[184.01],0.16,158.57872212071985,,False,False,"[0.1038/nature14964,10.1103/PhysRevLett.114.157004]"
1777,H3S,[200],2.9839999676,2.9839999676,2.9839999676,90.0,90.0,90.0,8.0,2.0,"[""S"", ""S"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.0, 0.0, 0.5]]",,,,,,,,,,,1.84,1077.17,[184.01],0.16,,194,True,False,"[0.1038/nature14964,10.1103/PhysRevLett.114.157004]"
1778,H3S,[200],2.9839999676,2.9839999676,2.9839999676,90.0,90.0,90.0,8.0,2.0,"[""S"", ""S"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.0, 0.0, 0.5]]",,,,,,,,,,,2.64,1048.64,[184.01],0.16,,250,False,False,"[0.1038/nature14964,10.1103/PhysRevLett.114.157004]"
1785,MgPd2Sb,[0],6.4523100853,6.4523100853,6.4523100853,90.0,90.0,90.0,16.0,3.0,"[""Mg"", ""Mg"", ""Mg"", ""Mg"", ""Sb"", ""Sb"", ""Sb"", ""Sb"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd""]","[[0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.5], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.75, 0.75, 0.25], [0.25, 0.25, 0.75], [0.75, 0.25, 0.75], [0.25, 0.75, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.25]]",6.5087,6.5087,6.5087,90.0,90.0,90.0,16.0,3.0,"[""Mg"", ""Mg"", ""Mg"", ""Mg"", ""Sb"", ""Sb"", ""Sb"", ""Sb"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd""]","[[0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.5], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.75, 0.75, 0.25], [0.25, 0.25, 0.75], [0.75, 0.25, 0.75], [0.25, 0.75, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.25]]",0.60,200.70,[2.2],0.14,2.83,,False,False,"[10.1103/PhysRevB.103.214501,10.1088/1402-4896/ac9f86]"
1786,MgPd2Sb,[0],,,,,,,,,,,6.5087,6.5087,6.5087,90.0,90.0,90.0,16.0,3.0,"[""Mg"", ""Mg"", ""Mg"", ""Mg"", ""Sb"", ""Sb"", ""Sb"", ""Sb"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd""]","[[0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.5], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.75, 0.75, 0.25], [0.25, 0.25, 0.75], [0.75, 0.25, 0.75], [0.25, 0.75, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.25]]",0.611,89.26,[2.2],0.1,2.16,,False,False,[10.1103/PhysRevB.103.214501]
1787,MgPd2Sb,[0],,,,,,,,,,,6.5087,6.5087,6.5087,90.0,90.0,90.0,16.0,3.0,"[""Mg"", ""Mg"", ""Mg"", ""Mg"", ""Sb"", ""Sb"", ""Sb"", ""Sb"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd"", ""Pd""]","[[0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.5], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.75, 0.75, 0.25], [0.25, 0.25, 0.75], [0.75, 0.25, 0.75], [0.25, 0.75, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.25]]",0.611,89.26,[2.2],0.13,1.54,,False,False,[10.1103/PhysRevB.103.214501]
